Part,Value,Device,Package
IC1,NUP4304MR6T1G,NUP4304MR6T1G,SOT95P275X110-6N
IC2,NUP4304MR6T1G,NUP4304MR6T1G,SOT95P275X110-6N
Q1,BSS138,MOSFET-NCHANNELSMD,SOT23-3
Q2,BSS138,MOSFET-NCHANNELSMD,SOT23-3
Q3,BSS138,MOSFET-NCHANNELSMD,SOT23-3
Q4,BSS138,MOSFET-NCHANNELSMD,SOT23-3
Q5,BSS138,MOSFET-NCHANNELSMD,SOT23-3
Q6,BSS138,MOSFET-NCHANNELSMD,SOT23-3
Q7,BSS138,MOSFET-NCHANNELSMD,SOT23-3
Q8,BSS138,MOSFET-NCHANNELSMD,SOT23-3
R1,1k,R-US_R0402,R0402
R2,1k,R-US_R0402,R0402
R3,1k,R-US_R0402,R0402
R4,1k,R-US_R0402,R0402
R5,1k,R-US_R0402,R0402
R6,1k,R-US_R0402,R0402
R7,1k,R-US_R0402,R0402
R8,1k,R-US_R0402,R0402
R9,10k,R-US_R0402,R0402
R10,10k,R-US_R0402,R0402
R11,10k,R-US_R0402,R0402
R12,10k,R-US_R0402,R0402
R13,10k,R-US_R0402,R0402
R14,10k,R-US_R0402,R0402
R15,10k,R-US_R0402,R0402
R16,10k,R-US_R0402,R0402
R17,10k,R-US_R0402,R0402
R18,10k,R-US_R0402,R0402
R19,10k,R-US_R0402,R0402
R20,10k,R-US_R0402,R0402
R21,10k,R-US_R0402,R0402
R22,10k,R-US_R0402,R0402
R23,10k,R-US_R0402,R0402
R24,10k,R-US_R0402,R0402
